O00159-3	R-HSA-5250924	B-WICH complex positively regulates rRNA expression
O75925	R-HSA-4090294	SUMOylation of intracellular receptors
O75925	R-HSA-4551638	SUMOylation of chromatin organization proteins
O75925	R-HSA-5696395	Formation of Incision Complex in GG-NER
O75925	R-HSA-877312	Regulation of IFNG signaling
O75928	R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis
O75934	R-HSA-72163	mRNA Splicing - Major Pathway
O75935	R-HSA-2132295	MHC class II antigen presentation
O75935	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
O75935	R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
O75935	R-HSA-380259	Loss of Nlp from mitotic centrosomes
O75935	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
O75935	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
O75935	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
O75935	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
O75935	R-HSA-6807878	COPI-mediated anterograde transport
O75935	R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic
O75935	R-HSA-8854518	AURKA Activation by TPX2
O75936	R-HSA-71262	Carnitine synthesis
O75937	R-HSA-72163	mRNA Splicing - Major Pathway
O75940	R-HSA-72163	mRNA Splicing - Major Pathway
O75943	R-HSA-176187	Activation of ATR in response to replication stress
O75943	R-HSA-5685938	HDR through Single Strand Annealing (SSA)
O75943	R-HSA-5693607	Processing of DNA double-strand break ends
O75943	R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange
O75943	R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation
O75943	R-HSA-69473	G2/M DNA damage checkpoint
O75943	R-HSA-9709570	Impaired BRCA2 binding to RAD51
O75947	R-HSA-163210	Formation of ATP by chemiosmotic coupling
O75947	R-HSA-8949613	Cristae formation
O75947	R-HSA-9837999	Mitochondrial protein degradation
O75955	R-HSA-5213460	RIPK1-mediated regulated necrosis
O75955	R-HSA-5675482	Regulation of necroptotic cell death
O75955	R-HSA-8849932	Synaptic adhesion-like molecules
O75955	R-HSA-8980692	RHOA GTPase cycle
O75955	R-HSA-9013026	RHOB GTPase cycle
O75955	R-HSA-9013106	RHOC GTPase cycle
O75962	R-HSA-193648	NRAGE signals death through JNK
O75962	R-HSA-416476	G alpha (q) signalling events
O75962	R-HSA-416482	G alpha (12/13) signalling events
O75962	R-HSA-418885	DCC mediated attractive signaling
O75962	R-HSA-8980692	RHOA GTPase cycle
O75962	R-HSA-9013148	CDC42 GTPase cycle
O75962	R-HSA-9013149	RAC1 GTPase cycle
O75962	R-HSA-9013404	RAC2 GTPase cycle
O75962	R-HSA-9013408	RHOG GTPase cycle
O75962	R-HSA-9013409	RHOJ GTPase cycle
O75962	R-HSA-9013423	RAC3 GTPase cycle
O75964	R-HSA-163210	Formation of ATP by chemiosmotic coupling
O75964	R-HSA-8949613	Cristae formation
O75964	R-HSA-9837999	Mitochondrial protein degradation
O75971	R-HSA-6807505	RNA polymerase II transcribes snRNA genes
O75971	R-HSA-749476	RNA Polymerase III Abortive And Retractive Initiation
O75971	R-HSA-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter
O75976	R-HSA-432722	Golgi Associated Vesicle Biogenesis
O75976	R-HSA-9696264	RND3 GTPase cycle
O75976	R-HSA-9696273	RND1 GTPase cycle
O76000	R-HSA-9752946	Expression and translocation of olfactory receptors
O76001	R-HSA-381753	Olfactory Signaling Pathway
O76001	R-HSA-9752946	Expression and translocation of olfactory receptors
O76002	R-HSA-381753	Olfactory Signaling Pathway
O76002	R-HSA-9752946	Expression and translocation of olfactory receptors
O76003	R-HSA-917937	Iron uptake and transport
O76009	R-HSA-6805567	Keratinization
O76009	R-HSA-6809371	Formation of the cornified envelope
O76011	R-HSA-6805567	Keratinization
O76011	R-HSA-6809371	Formation of the cornified envelope
O76013	R-HSA-6805567	Keratinization
O76013	R-HSA-6809371	Formation of the cornified envelope
O76014	R-HSA-6805567	Keratinization
O76014	R-HSA-6809371	Formation of the cornified envelope
O76015	R-HSA-6805567	Keratinization
O76015	R-HSA-6809371	Formation of the cornified envelope
O76024	R-HSA-381038	XBP1(S) activates chaperone genes
O76024	R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
O76024	R-HSA-8957275	Post-translational protein phosphorylation
O76031	R-HSA-9837999	Mitochondrial protein degradation
O76036	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
O76050	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus
O76050	R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants
O76050	R-HSA-2691232	Constitutive Signaling by NOTCH1 HD Domain Mutants
O76050	R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
O76050	R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus
O76050	R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus
O76061	R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
O76061	R-HSA-8957275	Post-translational protein phosphorylation
O76062	R-HSA-191273	Cholesterol biosynthesis
O76062	R-HSA-2426168	Activation of gene expression by SREBF (SREBP)
O76064	R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
O76064	R-HSA-5693571	Nonhomologous End-Joining (NHEJ)
O76064	R-HSA-5693607	Processing of DNA double-strand break ends
O76064	R-HSA-69473	G2/M DNA damage checkpoint
O76071	R-HSA-2564830	Cytosolic iron-sulfur cluster assembly
O76074	R-HSA-418457	cGMP effects
O76074	R-HSA-445355	Smooth Muscle Contraction
O76074	R-HSA-9013422	RHOBTB1 GTPase cycle
O76075	R-HSA-140342	Apoptosis induced DNA fragmentation
O76081	R-HSA-418594	G alpha (i) signalling events
O76081	R-HSA-418597	G alpha (z) signalling events
O76082	R-HSA-200425	Carnitine shuttle
O76082	R-HSA-549127	Organic cation transport
O76082	R-HSA-5619053	Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)
O76083	R-HSA-418457	cGMP effects
O76090	R-HSA-2672351	Stimuli-sensing channels
O76093	R-HSA-109704	PI3K Cascade
O76093	R-HSA-1257604	PIP3 activates AKT signaling
O76093	R-HSA-1839130	Signaling by activated point mutants of FGFR3
O76093	R-HSA-190322	FGFR4 ligand binding and activation
O76093	R-HSA-190371	FGFR3b ligand binding and activation
O76093	R-HSA-190372	FGFR3c ligand binding and activation
O76093	R-HSA-190375	FGFR2c ligand binding and activation
O76093	R-HSA-2033519	Activated point mutants of FGFR2
O76093	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
O76093	R-HSA-5654221	Phospholipase C-mediated cascade; FGFR2
O76093	R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3
O76093	R-HSA-5654228	Phospholipase C-mediated cascade; FGFR4
O76093	R-HSA-5654695	PI-3K cascade:FGFR2
O76093	R-HSA-5654699	SHC-mediated cascade:FGFR2
O76093	R-HSA-5654700	FRS-mediated FGFR2 signaling
O76093	R-HSA-5654704	SHC-mediated cascade:FGFR3
O76093	R-HSA-5654706	FRS-mediated FGFR3 signaling
O76093	R-HSA-5654710	PI-3K cascade:FGFR3
O76093	R-HSA-5654712	FRS-mediated FGFR4 signaling
O76093	R-HSA-5654719	SHC-mediated cascade:FGFR4
O76093	R-HSA-5654720	PI-3K cascade:FGFR4
O76093	R-HSA-5654727	Negative regulation of FGFR2 signaling
O76093	R-HSA-5654732	Negative regulation of FGFR3 signaling
O76093	R-HSA-5654733	Negative regulation of FGFR4 signaling
O76093	R-HSA-5655253	Signaling by FGFR2 in disease
O76093	R-HSA-5655332	Signaling by FGFR3 in disease
O76093	R-HSA-5658623	FGFRL1 modulation of FGFR1 signaling
O76093	R-HSA-5673001	RAF/MAP kinase cascade
O76093	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
O76094	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
O76099	R-HSA-381753	Olfactory Signaling Pathway
O76099	R-HSA-9752946	Expression and translocation of olfactory receptors
O76100	R-HSA-9752946	Expression and translocation of olfactory receptors
O77932	R-HSA-9930044	Nuclear RNA decay
O94759	R-HSA-3295583	TRP channels
O94759	R-HSA-6798695	Neutrophil degranulation
O94760	R-HSA-203615	eNOS activation
O94766	R-HSA-1971475	A tetrasaccharide linker sequence is required for GAG synthesis
O94766	R-HSA-3560801	Defective B3GAT3 causes JDSSDHD
O94772	R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins
O94776	R-HSA-3214815	HDACs deacetylate histones
O94776	R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression
O94776	R-HSA-6804758	Regulation of TP53 Activity through Acetylation
O94776	R-HSA-73762	RNA Polymerase I Transcription Initiation
O94776	R-HSA-8943724	Regulation of PTEN gene transcription
O94776	R-HSA-9679191	Potential therapeutics for SARS
O94776	R-HSA-9843940	Regulation of endogenous retroelements by KRAB-ZFP proteins
O94776	R-HSA-9844594	Transcriptional regulation of brown and beige adipocyte differentiation by EBF2
O94776	R-HSA-9845323	Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)
O94777	R-HSA-162699	Synthesis of dolichyl-phosphate mannose
O94777	R-HSA-162710	Synthesis of glycosylphosphatidylinositol (GPI)
O94777	R-HSA-4717374	Defective DPM1 causes DPM1-CDG
O94777	R-HSA-4719360	Defective DPM3 causes DPM3-CDG
O94777	R-HSA-4719377	Defective DPM2 causes DPM2-CDG
O94778	R-HSA-3299685	Detoxification of Reactive Oxygen Species
O94778	R-HSA-432047	Passive transport by Aquaporins
O94778	R-HSA-9925561	Developmental Lineage of Pancreatic Acinar Cells
O94779	R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins
O94782	R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex
O94782	R-HSA-6783310	Fanconi Anemia Pathway
O94788	R-HSA-5365859	RA biosynthesis pathway
O94804	R-HSA-6798695	Neutrophil degranulation
O94804	R-HSA-8980692	RHOA GTPase cycle
O94804	R-HSA-9013026	RHOB GTPase cycle
O94804	R-HSA-9013106	RHOC GTPase cycle
O94805	R-HSA-3214858	RMTs methylate histone arginines
O94805	R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
O94805	R-HSA-9934037	Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF)
O94806	R-HSA-1660661	Sphingolipid de novo biosynthesis
O94808	R-HSA-446210	Synthesis of UDP-N-acetyl-glucosamine
O94810	R-HSA-418594	G alpha (i) signalling events
O94810	R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
O94813	R-HSA-373752	Netrin-1 signaling
O94813	R-HSA-376176	Signaling by ROBO receptors
O94813	R-HSA-428540	Activation of RAC1
O94813	R-HSA-428542	Regulation of commissural axon pathfinding by SLIT and ROBO
O94813	R-HSA-428543	Inactivation of CDC42 and RAC1
O94813	R-HSA-428890	Role of ABL in ROBO-SLIT signaling
O94813	R-HSA-8985586	SLIT2:ROBO1 increases RHOA activity
O94813	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
O94813	R-HSA-9830674	Formation of the ureteric bud
O94817	R-HSA-1632852	Macroautophagy
O94817	R-HSA-5205685	PINK1-PRKN Mediated Mitophagy
O94817	R-HSA-8934903	Receptor Mediated Mitophagy
O94817	R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling
O94822	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
O94823	R-HSA-936837	Ion transport by P-type ATPases
O94826	R-HSA-1268020	Mitochondrial protein import
O94826	R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta
O94826	R-HSA-5205685	PINK1-PRKN Mediated Mitophagy
O94826	R-HSA-5689880	Ub-specific processing proteases
O94826	R-HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses
O94826	R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses
O94827	R-HSA-193648	NRAGE signals death through JNK
O94827	R-HSA-416482	G alpha (12/13) signalling events
O94827	R-HSA-8980692	RHOA GTPase cycle
O94827	R-HSA-9696264	RND3 GTPase cycle
O94827	R-HSA-9696273	RND1 GTPase cycle
O94830	R-HSA-1483166	Synthesis of PA
O94844	R-HSA-9013422	RHOBTB1 GTPase cycle
O94855	R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)
O94855	R-HSA-204005	COPII-mediated vesicle transport
O94855	R-HSA-2132295	MHC class II antigen presentation
O94855	R-HSA-5694530	Cargo concentration in the ER
O94855	R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses
O94855	R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC
O94856	R-HSA-445095	Interaction between L1 and Ankyrins
O94856	R-HSA-447043	Neurofascin interactions
O94856	R-HSA-6798695	Neutrophil degranulation
O94864	R-HSA-3214847	HATs acetylate histones
O94874	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
O94886	R-HSA-6798695	Neutrophil degranulation
O94887	R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
O94887	R-HSA-9013149	RAC1 GTPase cycle
O94888	R-HSA-8951664	Neddylation
O94888	R-HSA-9755511	KEAP1-NFE2L2 pathway
O94892	R-HSA-212436	Generic Transcription Pathway
O94901	R-HSA-1221632	Meiotic synapsis
O94905	R-HSA-382556	ABC-family proteins mediated transport
O94905	R-HSA-5655302	Signaling by FGFR1 in disease
O94905	R-HSA-5678895	Defective CFTR causes cystic fibrosis
O94905	R-HSA-8853336	Signaling by plasma membrane FGFR1 fusions
O94906	R-HSA-72163	mRNA Splicing - Major Pathway
O94906	R-HSA-72165	mRNA Splicing - Minor Pathway
O94907	R-HSA-201681	TCF dependent signaling in response to WNT
O94907	R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists
O94907	R-HSA-5339717	Signaling by LRP5 mutants 
O94911	R-HSA-382556	ABC-family proteins mediated transport
O94913	R-HSA-6807505	RNA polymerase II transcribes snRNA genes
O94913	R-HSA-72187	mRNA 3'-end processing
O94913	R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA
O94913	R-HSA-73856	RNA Polymerase II Transcription Termination
O94913	R-HSA-77595	Processing of Intronless Pre-mRNAs
O94919	R-HSA-114608	Platelet degranulation 
O94923	R-HSA-2022928	HS-GAG biosynthesis
O94925	R-HSA-210500	Glutamate Neurotransmitter Release Cycle
O94925	R-HSA-5628897	TP53 Regulates Metabolic Genes
O94925	R-HSA-8964539	Glutamate and glutamine metabolism
O94927	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
O94927	R-HSA-380259	Loss of Nlp from mitotic centrosomes
O94927	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
O94927	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
O94927	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
O94927	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
O94927	R-HSA-8854518	AURKA Activation by TPX2
O94929	R-HSA-418885	DCC mediated attractive signaling
O94933	R-HSA-388844	Receptor-type tyrosine-protein phosphatases
O94933	R-HSA-9013423	RAC3 GTPase cycle
O94941	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
O94952	R-HSA-8951664	Neddylation
O94952	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
O94953	R-HSA-3214842	HDMs demethylate histones
O94953	R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
O94953	R-HSA-9018519	Estrogen-dependent gene expression
O94955	R-HSA-6811440	Retrograde transport at the Trans-Golgi-Network
O94955	R-HSA-9706019	RHOBTB3 ATPase cycle
O94956	R-HSA-879518	Transport of organic anions
O94966	R-HSA-5689880	Ub-specific processing proteases
O94972	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
O94973	R-HSA-167590	Nef Mediated CD4 Down-regulation
O94973	R-HSA-177504	Retrograde neurotrophin signalling
O94973	R-HSA-182218	Nef Mediated CD8 Down-regulation
O94973	R-HSA-2132295	MHC class II antigen presentation
O94973	R-HSA-3928665	EPH-ephrin mediated repulsion of cells
O94973	R-HSA-437239	Recycling pathway of L1
O94973	R-HSA-5099900	WNT5A-dependent internalization of FZD4
O94973	R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2
O94973	R-HSA-6798695	Neutrophil degranulation
O94973	R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis
O94973	R-HSA-8856828	Clathrin-mediated endocytosis
O94973	R-HSA-8866427	VLDLR internalisation and degradation
O94973	R-HSA-8964038	LDL clearance
O94973	R-HSA-9679191	Potential therapeutics for SARS
O94979	R-HSA-204005	COPII-mediated vesicle transport
O94979	R-HSA-2132295	MHC class II antigen presentation
O94979	R-HSA-381038	XBP1(S) activates chaperone genes
O94979	R-HSA-9725370	Signaling by ALK fusions and activated point mutants
O94979	R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC
O94986	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
O94986	R-HSA-380259	Loss of Nlp from mitotic centrosomes
O94986	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
O94986	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
O94986	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
O94986	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
O94986	R-HSA-8854518	AURKA Activation by TPX2
O94988	R-HSA-8980692	RHOA GTPase cycle
O94988	R-HSA-9013149	RAC1 GTPase cycle
O94989	R-HSA-193648	NRAGE signals death through JNK
O94989	R-HSA-416482	G alpha (12/13) signalling events
O94989	R-HSA-8980692	RHOA GTPase cycle
O94989	R-HSA-9013148	CDC42 GTPase cycle
O94989	R-HSA-9013149	RAC1 GTPase cycle
O94991	R-HSA-388844	Receptor-type tyrosine-protein phosphatases
O94991	R-HSA-9013404	RAC2 GTPase cycle
O94991	R-HSA-9013423	RAC3 GTPase cycle
O95006	R-HSA-9752946	Expression and translocation of olfactory receptors
O95007	R-HSA-9752946	Expression and translocation of olfactory receptors
O95013	R-HSA-9752946	Expression and translocation of olfactory receptors
O95045	R-HSA-73614	Pyrimidine salvage
O95045	R-HSA-73621	Pyrimidine catabolism
O95047	R-HSA-9752946	Expression and translocation of olfactory receptors
O95050	R-HSA-2408552	Methylation of MeSeH for excretion
O95059	R-HSA-6784531	tRNA processing in the nucleus
O95059	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
O95067	R-HSA-156711	Polo-like kinase mediated events
O95067	R-HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization
O95067	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
O95067	R-HSA-2514853	Condensation of Prometaphase Chromosomes
O95067	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
O95067	R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7
O95067	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation
O95067	R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly
O95067	R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition
O95067	R-HSA-69478	G2/M DNA replication checkpoint
O95067	R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint
O95069	R-HSA-1299503	TWIK related potassium channel (TREK)
O95069	R-HSA-5576886	Phase 4 - resting membrane potential
O95070	R-HSA-381038	XBP1(S) activates chaperone genes
O95072	R-HSA-1221632	Meiotic synapsis
O95076	R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity
O95084	R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
O95084	R-HSA-8957275	Post-translational protein phosphorylation
O95096	R-HSA-210745	Regulation of gene expression in beta cells
O95096	R-HSA-210746	Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells
O95125	R-HSA-212436	Generic Transcription Pathway
O95136	R-HSA-418594	G alpha (i) signalling events
O95136	R-HSA-419408	Lysosphingolipid and LPA receptors
O95139	R-HSA-611105	Respiratory electron transport
O95139	R-HSA-6799198	Complex I biogenesis
O95139	R-HSA-9837999	Mitochondrial protein degradation
O95140	R-HSA-5205685	PINK1-PRKN Mediated Mitophagy
O95140	R-HSA-9013419	RHOT2 GTPase cycle
O95140	R-HSA-983231	Factors involved in megakaryocyte development and platelet production
O95149	R-HSA-191859	snRNP Assembly
O95150	R-HSA-5669034	TNFs bind their physiological receptors
O95153	R-HSA-181429	Serotonin Neurotransmitter Release Cycle
O95153	R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle
O95153	R-HSA-196108	Pregnenolone biosynthesis
O95153	R-HSA-210500	Glutamate Neurotransmitter Release Cycle
O95153	R-HSA-212676	Dopamine Neurotransmitter Release Cycle
O95153	R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle
O95154	R-HSA-5423646	Aflatoxin activation and detoxification
O95163	R-HSA-3214847	HATs acetylate histones
O95166	R-HSA-1632852	Macroautophagy
O95166	R-HSA-8854214	TBC/RABGAPs
O95167	R-HSA-611105	Respiratory electron transport
O95167	R-HSA-6799198	Complex I biogenesis
O95168	R-HSA-611105	Respiratory electron transport
O95168	R-HSA-6799198	Complex I biogenesis
O95169	R-HSA-1268020	Mitochondrial protein import
O95169	R-HSA-611105	Respiratory electron transport
O95169	R-HSA-6799198	Complex I biogenesis
O95178	R-HSA-611105	Respiratory electron transport
O95178	R-HSA-6799198	Complex I biogenesis
O95180	R-HSA-419037	NCAM1 interactions
O95180	R-HSA-445355	Smooth Muscle Contraction
O95180	R-HSA-9856532	Mechanical load activates signaling by PIEZO1 and integrins in osteocytes
O95182	R-HSA-611105	Respiratory electron transport
O95182	R-HSA-6799198	Complex I biogenesis
O95185	R-HSA-418886	Netrin mediated repulsion signals
O95190	R-HSA-350562	Regulation of ornithine decarboxylase (ODC)
O95196	R-HSA-1971475	A tetrasaccharide linker sequence is required for GAG synthesis
O95196	R-HSA-2022870	Chondroitin sulfate biosynthesis
O95196	R-HSA-2022923	Dermatan sulfate biosynthesis
O95196	R-HSA-2024101	CS/DS degradation
O95196	R-HSA-3560783	Defective B4GALT7 causes EDS, progeroid type
O95196	R-HSA-3560801	Defective B3GAT3 causes JDSSDHD
O95196	R-HSA-3595172	Defective CHST3 causes SEDCJD
O95196	R-HSA-3595174	Defective CHST14 causes EDS, musculocontractural type
O95196	R-HSA-3595177	Defective CHSY1 causes TPBS
O95196	R-HSA-4420332	Defective B3GALT6 causes EDSP2 and SEMDJL1
O95197	R-HSA-8849932	Synaptic adhesion-like molecules
O95198	R-HSA-8951664	Neddylation
O95198	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
O95201	R-HSA-212436	Generic Transcription Pathway
O95202	R-HSA-8949215	Mitochondrial calcium ion transport
O95202	R-HSA-9013408	RHOG GTPase cycle
O95202	R-HSA-9865881	Complex III assembly
O95208	R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis
O95208	R-HSA-8856828	Clathrin-mediated endocytosis
O95210	R-HSA-6798695	Neutrophil degranulation
O95210	R-HSA-8980692	RHOA GTPase cycle
O95210	R-HSA-9013404	RAC2 GTPase cycle
O95210	R-HSA-9013405	RHOD GTPase cycle
O95210	R-HSA-9013408	RHOG GTPase cycle
O95210	R-HSA-9013423	RAC3 GTPase cycle
O95221	R-HSA-9752946	Expression and translocation of olfactory receptors
O95222	R-HSA-9752946	Expression and translocation of olfactory receptors
O95229	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
O95229	R-HSA-2467813	Separation of Sister Chromatids
O95229	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
O95229	R-HSA-5663220	RHO GTPases Activate Formins
O95229	R-HSA-68877	Mitotic Prometaphase
O95229	R-HSA-9648025	EML4 and NUDC in mitotic spindle formation
O95231	R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)
O95231	R-HSA-8853884	Transcriptional Regulation by VENTX
O95232	R-HSA-72163	mRNA Splicing - Major Pathway
O95235	R-HSA-2132295	MHC class II antigen presentation
O95235	R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic
O95235	R-HSA-68884	Mitotic Telophase/Cytokinesis
O95235	R-HSA-983189	Kinesins
O95237	R-HSA-2453902	The canonical retinoid cycle in rods (twilight vision)
O95237	R-HSA-975634	Retinoid metabolism and transport
O95237	R-HSA-9918442	Defective visual phototransduction due to LRAT loss of function
O95239	R-HSA-2132295	MHC class II antigen presentation
O95239	R-HSA-437239	Recycling pathway of L1
O95239	R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic
O95239	R-HSA-983189	Kinesins
O95243	R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine
O95243	R-HSA-110329	Cleavage of the damaged pyrimidine 
O95243	R-HSA-110357	Displacement of DNA glycosylase by APEX1
O95248	R-HSA-1483248	Synthesis of PIPs at the ER membrane
O95248	R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs
O95249	R-HSA-6807878	COPI-mediated anterograde transport
O95249	R-HSA-6811438	Intra-Golgi traffic
O95251	R-HSA-3214847	HATs acetylate histones
O95255	R-HSA-382556	ABC-family proteins mediated transport
O95255	R-HSA-5690338	Defective ABCC6 causes PXE
O95256	R-HSA-9012546	Interleukin-18 signaling
O95258	R-HSA-167826	The fatty acid cycling model
O95259	R-HSA-1296072	Voltage gated Potassium channels
O95263	R-HSA-418555	G alpha (s) signalling events
O95264	R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission
O95267	R-HSA-114508	Effects of PIP2 hydrolysis
O95267	R-HSA-1169092	Activation of RAS in B cells
O95267	R-HSA-2871837	FCERI mediated NF-kB activation
O95267	R-HSA-354192	Integrin signaling
O95267	R-HSA-392517	Rap1 signalling
O95267	R-HSA-5673001	RAF/MAP kinase cascade
O95271	R-HSA-201681	TCF dependent signaling in response to WNT
O95271	R-HSA-4641257	Degradation of AXIN
O95271	R-HSA-5545619	XAV939 stabilizes AXIN
O95271	R-HSA-5689880	Ub-specific processing proteases
O95271	R-HSA-8948751	Regulation of PTEN stability and activity
O95274	R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins
O95278	R-HSA-3322077	Glycogen synthesis
O95278	R-HSA-3785653	Myoclonic epilepsy of Lafora
O95279	R-HSA-5576886	Phase 4 - resting membrane potential
O95292	R-HSA-1660661	Sphingolipid de novo biosynthesis
O95292	R-HSA-8980692	RHOA GTPase cycle
O95292	R-HSA-9013106	RHOC GTPase cycle
O95292	R-HSA-9013404	RAC2 GTPase cycle
O95292	R-HSA-9013405	RHOD GTPase cycle
O95292	R-HSA-9013408	RHOG GTPase cycle
O95294	R-HSA-5658442	Regulation of RAS by GAPs
O95295	R-HSA-432722	Golgi Associated Vesicle Biogenesis
O95298	R-HSA-611105	Respiratory electron transport
O95298	R-HSA-6798695	Neutrophil degranulation
O95298	R-HSA-6799198	Complex I biogenesis
O95299	R-HSA-611105	Respiratory electron transport
O95299	R-HSA-6799198	Complex I biogenesis
O95302	R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis
O95336	R-HSA-71336	Pentose phosphate pathway
O95340	R-HSA-174362	Transport and synthesis of PAPS
O95340	R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
O95340	R-HSA-3560796	Defective PAPSS2 causes SEMD-PA
