pathway,pathwayName
reactome:Pathway1412,Defective B3GALTL causes PpS
reactome:Pathway390,Amine Oxidase reactions
reactome:Pathway1123,crizotinib-resistant ALK mutants
reactome:Pathway2131,Gap junction trafficking
reactome:Pathway2220,Iron uptake and transport
reactome:Pathway1307,Hereditary fructose intolerance
reactome:Pathway1989,Degradation of GLI1 by the proteasome
reactome:Pathway1617,SARS-CoV-2 activates/modulates innate and adaptive immune responses
reactome:Pathway1385,Defective EXT2 causes exostoses 2
reactome:Pathway744,Meiosis
reactome:Pathway2090,Energy dependent regulation of mTOR by LKB1-AMPK
reactome:Pathway706,Mitotic Metaphase/Anaphase Transition
reactome:Pathway2062,RHO GTPases activate PAKs
reactome:Pathway2094,TNFR1-induced NF-kappa-B signaling pathway
reactome:Pathway2244,VLDL clearance
reactome:Pathway2710,MGMT-mediated DNA damage reversal
reactome:Pathway969,Signaling by FGFR in disease
reactome:Pathway2343,ROBO receptors bind AKAP5
reactome:Pathway897,"Incretin synthesis, secretion, and inactivation"
reactome:Pathway549,Defensins
reactome:Pathway726,APC/C:Cdc20 mediated degradation of Cyclin B
reactome:Pathway2463,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors
reactome:Pathway243,Biosynthesis of maresin-like SPMs
reactome:Pathway1668,Defective visual phototransduction due to OPN1SW loss of function
reactome:Pathway1084,Masitinib-resistant KIT mutants
reactome:Pathway1206,Defective ABCC8 can cause hypo- and hyper-glycemias
reactome:Pathway1797,Activated NTRK2 signals through CDK5
reactome:Pathway1716,Signaling by EGFR
reactome:Pathway13,GABA synthesis
reactome:Pathway2053,RHOBTB GTPase Cycle
reactome:Pathway1243,Defective SLC33A1 causes spastic paraplegia 42 (SPG42)
reactome:Pathway776,Extrinsic Pathway of Fibrin Clot Formation
reactome:Pathway1932,Gastrin-CREB signalling pathway via PKC and MAPK
reactome:Pathway1168,Defective Mismatch Repair Associated With PMS2
reactome:Pathway1993,GLI proteins bind promoters of Hh responsive genes to promote transcription
reactome:Pathway922,SLBP independent Processing of Histone Pre-mRNAs
reactome:Pathway2010,MAPK family signaling cascades
reactome:Pathway230,Ketone body metabolism
reactome:Pathway1346,Defective CYP27A1 causes CTX
reactome:Pathway777,Intrinsic Pathway of Fibrin Clot Formation
reactome:Pathway730,Autodegradation of Cdh1 by Cdh1:APC/C
reactome:Pathway2697,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
reactome:Pathway2058,RND2 GTPase cycle
reactome:Pathway1214,Defective CP causes aceruloplasminemia (ACERULOP)
reactome:Pathway1380,Defective CHST3 causes SEDCJD
reactome:Pathway1404,Defective MOGS causes CDG-2b
reactome:Pathway2642,Activation of the phototransduction cascade
reactome:Pathway1806,IRS activation
reactome:Pathway953,Synthesis of wybutosine at G37 of tRNA(Phe)
reactome:Pathway1426,Defective GFPT1 causes CMSTA1
reactome:Pathway2001,Estrogen-stimulated signaling through PRKCZ
reactome:Pathway735,Extension of Telomeres
reactome:Pathway2389,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition"
reactome:Pathway895,"Synthesis, secretion, and deacylation of Ghrelin"
reactome:Pathway525,STAT6-mediated induction of chemokines
reactome:Pathway529,Regulation by TREX1
reactome:Pathway317,Nicotinate metabolism
reactome:Pathway2027,Negative regulation of the PI3K/AKT network
reactome:Pathway239,Biosynthesis of D-series resolvins
reactome:Pathway2454,Regulation of TP53 Activity
reactome:Pathway771,Arachidonate production from DAG
reactome:Pathway1948,NOTCH1 Intracellular Domain Regulates Transcription
reactome:Pathway1887,Vasopressin-like receptors
reactome:Pathway488,IKK complex recruitment mediated by RIP1
reactome:Pathway716,APC/C-mediated degradation of cell cycle proteins
reactome:Pathway985,t(4;14) translocations of FGFR3
reactome:Pathway2214,Transport of fatty acids
reactome:Pathway1564,NEP/NS2 Interacts with the Cellular Export Machinery
reactome:Pathway1725,FGFR1b ligand binding and activation
reactome:Pathway2404,Abacavir metabolism
reactome:Pathway796,Translation initiation complex formation
reactome:Pathway527,DEx/H-box helicases activate type I IFN and inflammatory cytokines production
reactome:Pathway2739,Dual incision in TC-NER
reactome:Pathway1023,SMAD2/3 Phosphorylation Motif Mutants in Cancer
reactome:Pathway2472,RUNX1 regulates transcription of genes involved in differentiation of HSCs
reactome:Pathway884,Synthesis of active ubiquitin: roles of E1 and E2 enzymes
reactome:Pathway739,Polymerase switching on the C-strand of the telomere
reactome:Pathway1906,Opsins
reactome:Pathway797,Ribosomal scanning and start codon recognition
reactome:Pathway906,Mitochondrial protein degradation
reactome:Pathway1859,Signaling by MST1
reactome:Pathway1827,SHC1 events in ERBB2 signaling
reactome:Pathway2361,Cardiogenesis
reactome:Pathway1691,Defective F8 binding to the cell membrane
reactome:Pathway1830,PLCG1 events in ERBB2 signaling
reactome:Pathway118,Inositol phosphate metabolism
reactome:Pathway1953,NOTCH3 Activation and Transmission of Signal to the Nucleus
reactome:Pathway303,Phosphate bond hydrolysis by NTPDase proteins
reactome:Pathway547,CD209 (DC-SIGN) signaling
reactome:Pathway905,Amyloid fiber formation
reactome:Pathway50,Activation of Na-permeable kainate receptors
reactome:Pathway458,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
reactome:Pathway507,Inflammasomes
reactome:Pathway367,Melanin biosynthesis
reactome:Pathway1007,PTEN Loss of Function in Cancer
reactome:Pathway641,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
reactome:Pathway2349,Neurofascin interactions
reactome:Pathway2674,Cilium Assembly
reactome:Pathway694,Condensation of Prophase Chromosomes
reactome:Pathway1143,Diseases of Cellular Senescence
reactome:Pathway650,Drug-mediated inhibition of CDK4/CDK6 activity
reactome:Pathway1695,Defective factor IX causes hemophilia B
reactome:Pathway1489,Cell redox homeostasis
reactome:Pathway494,Regulation of TLR by endogenous ligand
reactome:Pathway2014,RAF activation
reactome:Pathway391,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
reactome:Pathway1999,Estrogen-dependent gene expression
reactome:Pathway1472,Listeria monocytogenes entry into host cells
reactome:Pathway1445,Maple Syrup Urine Disease
reactome:Pathway2544,Post-transcriptional silencing by small RNAs
reactome:Pathway793,Formation of a pool of free 40S subunits
reactome:Pathway1087,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants"
reactome:Pathway2670,Mitochondrial biogenesis
reactome:Pathway1525,Membrane binding and targetting of GAG proteins
reactome:Pathway2029,PTEN Regulation
reactome:Pathway1699,Defective gamma-carboxylation of F9
reactome:Pathway461,MAPK targets/ Nuclear events mediated by MAP kinases
reactome:Pathway1958,NOTCH4 Intracellular Domain Regulates Transcription
reactome:Pathway1761,FRS-mediated FGFR4 signaling
reactome:Pathway2325,Sema3A PAK dependent Axon repulsion
reactome:Pathway2408,Ciprofloxacin ADME
reactome:Pathway2531,RNA Polymerase III Abortive And Retractive Initiation
reactome:Pathway2342,SLIT2:ROBO1 increases RHOA activity
reactome:Pathway346,Methionine salvage pathway
reactome:Pathway256,"Adrenaline,noradrenaline inhibits insulin secretion"
reactome:Pathway1485,Suppression of autophagy
reactome:Pathway2438,Generic Transcription Pathway
reactome:Pathway2417,Regulation of CDH11 gene transcription
reactome:Pathway122,IPs transport between nucleus and cytosol
reactome:Pathway2605,Cellular response to starvation
reactome:Pathway2044,RAC3 GTPase cycle
reactome:Pathway1185,Defective homologous recombination repair (HRR) due to BRCA1 loss of function
reactome:Pathway2746,DNA Replication
reactome:Pathway1228,Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)
reactome:Pathway2485,RUNX2 regulates bone development
reactome:Pathway41,Ras activation upon Ca2+ influx through NMDA receptor
reactome:Pathway2312,Formation of the posterior neural plate
reactome:Pathway1833,ERBB2 Activates PTK6 Signaling
reactome:Pathway1355,Defective GGT1 causes GLUTH
reactome:Pathway655,G1/S-Specific Transcription
reactome:Pathway2709,DNA Damage Reversal
reactome:Pathway659,E2F-enabled inhibition of pre-replication complex formation
reactome:Pathway1646,ADORA2B mediated anti-inflammatory cytokines production
reactome:Pathway2135,Transport of connexons to the plasma membrane
reactome:Pathway421,Costimulation by the CD28 family
reactome:Pathway1399,Defective MPDU1 causes CDG-1f
reactome:Pathway558,Cytokine Signaling in Immune system
reactome:Pathway1533,Nuclear import of Rev protein
reactome:Pathway1332,Defective BTD causes biotidinase deficiency
reactome:Pathway2207,Rhesus glycoproteins mediate ammonium transport
reactome:Pathway1903,Adenosine P1 receptors
reactome:Pathway2581,Oncogene Induced Senescence
reactome:Pathway656,Activation of the pre-replicative complex
reactome:Pathway2351,EPH-Ephrin signaling
reactome:Pathway351,"Metabolism of ingested SeMet, Sec, MeSec into H2Se"
reactome:Pathway192,PIPs transport between Golgi and plasma membranes
reactome:Pathway755,Platelet sensitization by LDL
reactome:Pathway482,Transfer of LPS from LBP carrier to CD14
reactome:Pathway300,Purine catabolism
reactome:Pathway2076,RHOT2 GTPase cycle
reactome:Pathway2102,NRAGE signals death through JNK
reactome:Pathway443,Cross-presentation of soluble exogenous antigens (endosomes)
reactome:Pathway1986,Hedgehog 'off' state
reactome:Pathway419,Generation of second messenger molecules
reactome:Pathway2008,LXRs regulate gene expression to control bile acid homeostasis
reactome:Pathway1189,Impaired BRCA2 binding to RAD51
reactome:Pathway186,Synthesis of CL
reactome:Pathway195,Synthesis of PIPs at the early endosome membrane
reactome:Pathway1295,MPS VII - Sly syndrome
reactome:Pathway720,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
reactome:Pathway140,Synthesis of Leukotrienes (LT) and Eoxins (EX)
reactome:Pathway715,Regulation of mitotic cell cycle
reactome:Pathway500,Classical antibody-mediated complement activation
reactome:Pathway2585,Senescence-Associated Secretory Phenotype (SASP)
reactome:Pathway29,Postsynaptic nicotinic acetylcholine receptors
reactome:Pathway1354,Defective GCLC causes HAGGSD
reactome:Pathway2391,Transcriptional regulation of white adipocyte differentiation
reactome:Pathway1173,Defective Base Excision Repair Associated with NEIL1
reactome:Pathway219,Recycling of bile acids and salts
reactome:Pathway1539,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
reactome:Pathway1413,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1"
reactome:Pathway1895,Histamine receptors
reactome:Pathway934,KSRP (KHSRP) binds and destabilizes mRNA
reactome:Pathway763,Thrombin signalling through proteinase activated receptors (PARs)
reactome:Pathway2071,RHO GTPases Activate Rhotekin and Rhophilins
reactome:Pathway1766,Signaling by NTRKs
reactome:Pathway2191,Sodium-coupled phosphate cotransporters
reactome:Pathway827,Protein hydroxylation
reactome:Pathway2381,MITF-M-dependent gene expression
reactome:Pathway578,Interleukin-38 signaling
reactome:Pathway2614,ATF4 activates genes in response to endoplasmic reticulum  stress
reactome:Pathway2460,Regulation of TP53 Activity through Methylation
reactome:Pathway1565,Virus Assembly and Release
reactome:Pathway451,Toll Like Receptor 10 (TLR10) Cascade
reactome:Pathway398,Cytosolic sulfonation of small molecules
reactome:Pathway1588,Maturation of protein E
reactome:Pathway411,Reversible hydration of carbon dioxide
reactome:Pathway1822,VEGFR2 mediated cell proliferation
reactome:Pathway1755,PI-3K cascade:FGFR3
reactome:Pathway928,Formation of editosomes by ADAR proteins
reactome:Pathway1147,Evasion of Oncogene Induced Senescence Due to p14ARF Defects
reactome:Pathway1612,Maturation of protein M
reactome:Pathway315,Cobalamin (Cbl) metabolism
reactome:Pathway340,Tyrosine catabolism
reactome:Pathway624,p53-Dependent G1/S DNA damage checkpoint
reactome:Pathway1078,Drug resistance of KIT mutants
reactome:Pathway1428,Defective PMM2 causes CDG-1a
reactome:Pathway938,Deadenylation of mRNA
reactome:Pathway1626,Respiratory syncytial virus genome transcription
reactome:Pathway2286,Regulation of PAK-2p34 activity by PS-GAP/RHG10
reactome:Pathway2487,RUNX2 regulates chondrocyte maturation
reactome:Pathway1194,Disorders of transmembrane transporters
reactome:Pathway519,Cytosolic sensors of pathogen-associated DNA
reactome:Pathway1916,Opioid Signalling
reactome:Pathway1992,Activation of SMO
reactome:Pathway483,MyD88:MAL(TIRAP) cascade initiated on plasma membrane
reactome:Pathway312,"Cobalamin (Cbl, vitamin B12) transport and metabolism"
reactome:Pathway1673,"Biosynthesis of A2E, implicated in retinal degradation"
reactome:Pathway964,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
reactome:Pathway1316,Phenylketonuria
reactome:Pathway1510,RNA Polymerase II HIV Promoter Escape
reactome:Pathway595,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
reactome:Pathway2140,Clathrin-mediated endocytosis
reactome:Pathway920,Processing of Capped Intronless Pre-mRNA
reactome:Pathway1365,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate
reactome:Pathway157,Beta oxidation of octanoyl-CoA to hexanoyl-CoA
reactome:Pathway2375,Transcriptional regulation of granulopoiesis
reactome:Pathway1505,2-LTR circle formation
reactome:Pathway1608,Maturation of nucleoprotein
reactome:Pathway185,Acyl chain remodelling of PG
reactome:Pathway348,Degradation of cysteine and homocysteine
reactome:Pathway1703,Defective binding of VWF variant to GPIb:IX:V
reactome:Pathway433,Activation of RAS in B cells
reactome:Pathway2390,Adipogenesis
reactome:Pathway2017,Negative feedback regulation of MAPK pathway
reactome:Pathway2566,Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex
reactome:Pathway2506,MECP2 regulates transcription of genes involved in GABA signaling
reactome:Pathway1133,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
reactome:Pathway362,Choline catabolism
reactome:Pathway2085,PTK6 promotes HIF1A stabilization
reactome:Pathway1733,PI-3K cascade:FGFR1
reactome:Pathway2366,Regulation of beta-cell development
reactome:Pathway2522,RNA Polymerase II Transcription Initiation
reactome:Pathway2089,mTORC1-mediated signalling
reactome:Pathway383,CYP2E1 reactions
reactome:Pathway1854,MET activates RAP1 and RAC1
reactome:Pathway417,Phosphorylation of CD3 and TCR zeta chains
reactome:Pathway1630,Assembly and release of respiratory syncytial virus (RSV) virions
reactome:Pathway719,SCF-beta-TrCP mediated degradation of Emi1
reactome:Pathway593,Interleukin-12 family signaling
reactome:Pathway866,SUMOylation of transcription cofactors
reactome:Pathway2720,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)
reactome:Pathway505,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"
reactome:Pathway1514,Tat-mediated elongation of the HIV-1 transcript
reactome:Pathway2251,Apoptosis
reactome:Pathway512,Advanced glycosylation endproduct receptor signaling
reactome:Pathway2397,NR1D1 (REV-ERBA) represses gene expression
reactome:Pathway1161,Loss of function of TP53 in cancer due to loss of tetramerization ability
reactome:Pathway1934,G alpha (12/13) signalling events
reactome:Pathway1068,Signaling by MAPK mutants
reactome:Pathway1737,FGFR2 alternative splicing
reactome:Pathway667,DNA strand elongation
reactome:Pathway1596,SARS-CoV-1 targets host intracellular signalling and regulatory pathways
reactome:Pathway2604,Detoxification of Reactive Oxygen Species
reactome:Pathway514,TRAF3-dependent IRF activation pathway
reactome:Pathway2376,Developmental Cell Lineages
reactome:Pathway1638,Killing mechanisms
reactome:Pathway2502,Regulation of MECP2 expression and activity
reactome:Pathway2333,Role of second messengers in netrin-1 signaling
reactome:Pathway2308,Somitogenesis
reactome:Pathway2183,Mitochondrial ABC transporters
reactome:Pathway2528,RNA Polymerase II Transcription Termination
reactome:Pathway2432,RNA Polymerase I Promoter Clearance
reactome:Pathway620,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane
reactome:Pathway1978,Asymmetric localization of PCP proteins
reactome:Pathway903,Protein repair
reactome:Pathway1469,Uptake and function of anthrax toxins
reactome:Pathway2632,Pexophagy
reactome:Pathway225,Estrogen biosynthesis
reactome:Pathway2034,Regulation of PTEN stability and activity
reactome:Pathway2559,Formation of WDR5-containing histone-modifying complexes
reactome:Pathway1939,G beta:gamma signalling through CDC42
reactome:Pathway2057,RND1 GTPase cycle
reactome:Pathway282,Complex I biogenesis
reactome:Pathway194,PIPs transport between plasma and early endosome membranes
reactome:Pathway892,Protein lipoylation
reactome:Pathway803,Peptide chain elongation
reactome:Pathway2104,NADE modulates death signalling
reactome:Pathway392,PAOs oxidise polyamines to amines
reactome:Pathway1105,quizartinib-resistant FLT3 mutants
reactome:Pathway502,Activation of C3 and C5
reactome:Pathway396,Glucuronidation
reactome:Pathway1418,Diseases associated with glycosylation precursor biosynthesis
reactome:Pathway2352,EPHA-mediated growth cone collapse
reactome:Pathway2612,XBP1(S) activates chaperone genes
reactome:Pathway855,O-linked glycosylation
reactome:Pathway1966,WNT mediated activation of DVL
reactome:Pathway815,Association of TriC/CCT with target proteins during biosynthesis
reactome:Pathway1414,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2"
reactome:Pathway865,SUMOylation of transcription factors
reactome:Pathway1031,Signaling by WNT in cancer
reactome:Pathway2398,Drug ADME
reactome:Pathway597,Interleukin-27 signaling
reactome:Pathway754,Reduction of cytosolic Ca++ levels
reactome:Pathway2553,Activation of rRNA Expression by ERCC6 (CSB) and EHMT2 (G9a)
reactome:Pathway234,Biosynthesis of Lipoxins (LX)
reactome:Pathway1458,Bacterial Infection Pathways
reactome:Pathway1679,Loss of MECP2 binding ability to the NCoR/SMRT complex
reactome:Pathway680,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
reactome:Pathway2070,RHO GTPases Activate Formins
reactome:Pathway1666,Defective visual phototransduction due to LRAT loss of function
reactome:Pathway1199,Defective ABCB11 causes PFIC2 and BRIC2
reactome:Pathway851,N-glycan antennae elongation in the medial/trans-Golgi
reactome:Pathway2222,Ion channel transport
reactome:Pathway1962,Degradation of beta-catenin by the destruction complex
reactome:Pathway2675,Anchoring of the basal body to the plasma membrane
reactome:Pathway349,Sulfide oxidation to sulfate
reactome:Pathway1186,Defective homologous recombination repair (HRR) due to BRCA2 loss of function
reactome:Pathway1449,H139Hfs13* PPM1K causes a mild variant of  MSUD
reactome:Pathway16,Neurotransmitter clearance
reactome:Pathway789,Cytosolic tRNA aminoacylation
reactome:Pathway968,Inhibition of Signaling by Overexpressed EGFR
reactome:Pathway506,NOD1/2 Signaling Pathway
reactome:Pathway247,Biosynthesis of DPA-derived SPMs
reactome:Pathway1931,G alpha (q) signalling events
reactome:Pathway1378,Defective B3GAT3 causes JDSSDHD
reactome:Pathway709,Nuclear Envelope (NE) Reassembly
reactome:Pathway2519,RNA Polymerase II Pre-transcription Events
reactome:Pathway2079,PTK6 Expression
reactome:Pathway1795,Activated NTRK2 signals through FYN
reactome:Pathway328,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"
reactome:Pathway1170,Defective Base Excision Repair Associated with MUTYH
reactome:Pathway858,Termination of O-glycan biosynthesis
reactome:Pathway2603,Regulation of HMOX1 expression and activity
reactome:Pathway2671,Activation of PPARGC1A (PGC-1alpha) by phosphorylation
reactome:Pathway1342,Defective CYP21A2 causes AH3
reactome:Pathway87,Regulation of Glucokinase by Glucokinase Regulatory Protein
reactome:Pathway370,Thyroxine biosynthesis
reactome:Pathway2310,Formation of definitive endoderm
reactome:Pathway1746,Negative regulation of FGFR2 signaling
reactome:Pathway1635,Parasite infection
reactome:Pathway1867,Downregulation of TGF-beta receptor signaling
reactome:Pathway2233,Plasma lipoprotein assembly
reactome:Pathway1040,Truncations of AMER1 destabilize the destruction complex
reactome:Pathway912,U12 Dependent Splicing
reactome:Pathway389,COX reactions
reactome:Pathway2458,Regulation of TP53 Activity through Phosphorylation
reactome:Pathway1535,Vif-mediated degradation of APOBEC3G
reactome:Pathway2120,Membrane Trafficking
reactome:Pathway341,Proline catabolism
reactome:Pathway837,Synthesis of GDP-mannose
reactome:Pathway1463,Toxicity of botulinum toxin type E (botE)
reactome:Pathway2168,Elastic fibre formation
reactome:Pathway336,Lysine catabolism
reactome:Pathway2226,O2/CO2 exchange in erythrocytes
reactome:Pathway1097,FLT3 signaling in disease
reactome:Pathway1320,Defective AMN causes MGA1
reactome:Pathway1750,FGFR3c ligand binding and activation
reactome:Pathway937,Deadenylation-dependent mRNA decay
reactome:Pathway375,Heme degradation
reactome:Pathway2317,Activation of anterior HOX genes in hindbrain development during early embryogenesis
reactome:Pathway873,SUMOylation of SUMOylation proteins
reactome:Pathway2586,HSP90 chaperone cycle for SHRs
reactome:Pathway2500,Transcriptional Regulation by VENTX
reactome:Pathway954,tRNA processing in the mitochondrion
reactome:Pathway2002,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
reactome:Pathway206,Glycosphingolipid catabolism
reactome:Pathway2590,KEAP1-NFE2L2 pathway
reactome:Pathway2641,The phototransduction cascade
reactome:Pathway842,Calnexin/calreticulin cycle
reactome:Pathway2021,MAPK1 (ERK2) activation
reactome:Pathway1862,STAT3 nuclear events downstream of ALK signaling
reactome:Pathway1065,Signaling by BRAF and RAF1 fusions
reactome:Pathway1477,Response of Mtb to phagocytosis
reactome:Pathway408,Aflatoxin activation and detoxification
reactome:Pathway610,STAT5 Activation
reactome:Pathway1832,ERBB2 Regulates Cell Motility
reactome:Pathway66,Classical Kir channels
reactome:Pathway619,Class I peroxisomal membrane protein import
reactome:Pathway2161,Collagen formation
reactome:Pathway681,Regulation of PLK1 Activity at G2/M Transition
reactome:Pathway633,G2/M Checkpoints
reactome:Pathway700,Mitotic Prometaphase
reactome:Pathway2388,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy
reactome:Pathway564,IFNG signaling activates MAPKs
reactome:Pathway1201,Defective ABCA1 causes TGD
reactome:Pathway1103,Drug resistance of FLT3 mutants
reactome:Pathway2155,HATs acetylate histones
reactome:Pathway945,rRNA processing in the nucleus and cytosol
reactome:Pathway2401,APAP ADME
reactome:Pathway2440,Nuclear Receptor transcription pathway
reactome:Pathway846,Cargo concentration in the ER
reactome:Pathway2190,Multifunctional anion exchangers
reactome:Pathway1260,Defective SLC5A2 causes renal glucosuria (GLYS1)
reactome:Pathway941,Nonsense-Mediated Decay (NMD)
reactome:Pathway2273,Activation of caspases through apoptosome-mediated cleavage
reactome:Pathway2347,Signal transduction by L1
reactome:Pathway454,IRAK2 mediated activation of TAK1 complex
reactome:Pathway2547,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis"
reactome:Pathway2445,TP53 Regulates Transcription of Death Receptors and Ligands
reactome:Pathway958,Mitochondrial RNA degradation
reactome:Pathway807,Mitochondrial translation elongation
reactome:Pathway1033,APC truncation mutants are not K63 polyubiquitinated
reactome:Pathway1652,MyD88 deficiency (TLR2/4)
reactome:Pathway2465,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
reactome:Pathway1570,Release
reactome:Pathway2572,Cellular response to hypoxia
reactome:Pathway1530,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization
reactome:Pathway2296,Chromatin modifications during the maternal to zygotic transition (MZT)
reactome:Pathway520,ZBP1(DAI) mediated induction of type I IFNs
reactome:Pathway994,Resistance of ERBB2 KD mutants to lapatinib
reactome:Pathway1944,Pre-NOTCH Processing in the Endoplasmic Reticulum
reactome:Pathway1553,Viral Messenger RNA Synthesis
reactome:Pathway1741,Downstream signaling of activated FGFR2
reactome:Pathway972,Signaling by FGFR1 amplification mutants
reactome:Pathway864,SUMO E3 ligases SUMOylate target proteins
reactome:Pathway1568,Packaging of Eight RNA Segments
reactome:Pathway1283,Diseases of metabolism
reactome:Pathway611,Negative regulation of FLT3
reactome:Pathway277,Regulation of pyruvate dehydrogenase (PDH) complex
reactome:Pathway916,Transport of Mature mRNAs Derived from Intronless Transcripts
reactome:Pathway698,Nuclear Pore Complex (NPC) Disassembly
reactome:Pathway2676,Cargo trafficking to the periciliary membrane
reactome:Pathway2067,RHO GTPases activate IQGAPs
reactome:Pathway1286,MPS I - Hurler syndrome
reactome:Pathway330,Aspartate and asparagine metabolism
reactome:Pathway860,Processing and activation of SUMO
reactome:Pathway1809,Activation of PKB
reactome:Pathway436,Class I MHC mediated antigen processing & presentation
reactome:Pathway1264,Variant SLC6A14 may confer susceptibility towards obesity
reactome:Pathway1801,Activated NTRK3 signals through RAS
reactome:Pathway2038,RHO GTPase cycle
reactome:Pathway932,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
reactome:Pathway817,Post-chaperonin tubulin folding pathway
reactome:Pathway88,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism"
reactome:Pathway1549,Uncoating of the Influenza Virion
reactome:Pathway1010,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
reactome:Pathway2476,RUNX1 regulates transcription of genes involved in BCR signaling
reactome:Pathway2178,Integrin cell surface interactions
reactome:Pathway936,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA
reactome:Pathway2257,Intrinsic Pathway for Apoptosis
reactome:Pathway1772,NGF-independant TRKA activation
reactome:Pathway2491,Regulation of RUNX3 expression and activity
reactome:Pathway427,PD-1 signaling
reactome:Pathway2403,Abacavir transmembrane transport
reactome:Pathway2213,Transport of nucleotide sugars
reactome:Pathway113,Lysosomal oligosaccharide catabolism
reactome:Pathway1111,tamatinib-resistant FLT3 mutants
reactome:Pathway2047,RHOJ GTPase cycle
reactome:Pathway1273,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)
reactome:Pathway618,TYSND1 cleaves peroxisomal proteins
reactome:Pathway1196,Defective CFTR causes cystic fibrosis
reactome:Pathway2468,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation
reactome:Pathway1620,SARS-CoV-2 modulates host translation machinery
reactome:Pathway2625,Macroautophagy
reactome:Pathway1313,"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P"
reactome:Pathway2138,Formation of annular gap junctions
reactome:Pathway2594,NFE2L2 regulating ER-stress associated genes
reactome:Pathway800,L13a-mediated translational silencing of Ceruloplasmin expression
reactome:Pathway96,Glycosaminoglycan metabolism
reactome:Pathway2453,TP53 Regulates Transcription of DNA Repair Genes
reactome:Pathway212,Regulation of cholesterol biosynthesis by SREBP (SREBF)
reactome:Pathway126,Synthesis of IPs in the ER lumen
reactome:Pathway2107,p75NTR recruits signalling complexes
reactome:Pathway554,Neutrophil degranulation
reactome:Pathway2689,Recognition and association of DNA glycosylase with site containing an affected pyrimidine
reactome:Pathway216,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
reactome:Pathway1499,Uncoating of the HIV Virion
reactome:Pathway997,Resistance of ERBB2 KD mutants to afatinib
reactome:Pathway1436,Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine
reactome:Pathway2662,Physiological factors
reactome:Pathway202,Sphingolipid metabolism
reactome:Pathway46,Activation of AMPK downstream of NMDARs
reactome:Pathway1012,Constitutive Signaling by NOTCH1 HD Domain Mutants
reactome:Pathway2738,Formation of TC-NER Pre-Incision Complex
reactome:Pathway1723,Signaling by FGFR1
reactome:Pathway8,Serotonin Neurotransmitter Release Cycle
reactome:Pathway286,Formation of ATP by chemiosmotic coupling
reactome:Pathway1817,Signaling by VEGF
reactome:Pathway2216,Aquaporin-mediated transport
reactome:Pathway173,Synthesis of PE
reactome:Pathway21,Metabolism of serotonin
reactome:Pathway154,Beta oxidation of myristoyl-CoA to lauroyl-CoA
reactome:Pathway460,MAP3K8 (TPL2)-dependent MAPK1/3 activation
reactome:Pathway563,Regulation of IFNG signaling
reactome:Pathway2640,The retinoid cycle in cones (daylight vision)
reactome:Pathway2402,Abacavir ADME
reactome:Pathway1235,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)
reactome:Pathway1561,Inhibition of PKR
